feature_id,namespace,key,english_present,present_locale_count,missing_locales,extra_locales,same_as_english_locales,source_file,availability
COMFY-SETTING-003,commands,Comfy_GroupNode_ManageGroupNodes.label,no,1,ar | en | es | fa | fr | ja | ko | pt-BR | ru | tr | zh | zh-TW,he,,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_GroupNode_UngroupSelectedGroupNodes.label,no,1,ar | en | es | fa | fr | ja | ko | pt-BR | ru | tr | zh | zh-TW,he,,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Help_AboutComfyUI.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Help_OpenComfyOrgDiscord.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Help_OpenComfyUIDocs.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Help_OpenComfyUIForum.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Help_OpenComfyUIIssues.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Interrupt.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_LoadDefaultWorkflow.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Manager_CustomNodesManager_ShowCustomNodesMenu.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Manager_CustomNodesManager_ShowLegacyCustomNodesMenu.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Manager_ShowLegacyManagerMenu.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Manager_ShowMissingPacks.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Manager_ShowUpdateAvailablePacks.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_MaskEditor_BrushSize_Decrease.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_MaskEditor_BrushSize_Increase.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_MaskEditor_ColorPicker.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_MaskEditor_Mirror_Horizontal.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_MaskEditor_Mirror_Vertical.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_MaskEditor_OpenMaskEditor.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_MaskEditor_Rotate_Left.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_MaskEditor_Rotate_Right.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Memory_UnloadModels.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Memory_UnloadModelsAndExecutionCache.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_NewBlankWorkflow.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_OpenClipspace.label,yes,13,,,ar | en | fa | he | pt-BR | tr | zh-TW,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_OpenManagerDialog.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_OpenWorkflow.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_PublishSubgraph.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_QueuePrompt.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_QueuePromptFront.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_QueueSelectedOutputNodes.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Queue_ToggleOverlay.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Redo.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_RefreshNodeDefinitions.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_RenameWorkflow.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_SaveWorkflow.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_SaveWorkflowAs.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_ShowSettingsDialog.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Subgraph_SetDescription.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Subgraph_SetSearchAliases.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_ToggleAssetAPI.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_ToggleCanvasInfo.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_ToggleHelpCenter.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_ToggleLinear.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_ToggleQPOV2.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_ToggleTheme.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_Undo.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_User_OpenSignInDialog.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Comfy_User_SignOut.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Experimental_ToggleVueNodes.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_CloseWorkflow.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_NextOpenedWorkflow.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_PreviousOpenedWorkflow.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_SearchBox_Toggle.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleBottomPanel.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleBottomPanelTab_command-terminal.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleBottomPanelTab_logs-terminal.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleBottomPanelTab_shortcuts-essentials.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleBottomPanelTab_shortcuts-view-controls.label,yes,13,,,en,src/locales/en/commands.json,active
COMFY-SETTING-003,commands,Workspace_ToggleBottomPanel_Shortcuts.label,yes,13,,,en,src/locales/en/commands.json,active
