feature_id,source_file,module,domain,public_functions,classes,function_count,class_count,command_ids,classification,evidence_level
COMFY-CLI-MODULE-CDAA4FC42C56,comfy_cli/command/generate/schema.py,comfy_cli.command.generate.schema,command surface,flags_for | parse_args | help_text | example_invocation,FlagDef | SchemaError,7,2,,production module,code-inferred
COMFY-CLI-MODULE-12D83696CA6D,comfy_cli/command/generate/spec.py,comfy_cli.command.generate.spec,command surface,aliases | preferred_alias | resolve_alias | load_raw_spec | base_url | list_endpoints | get_endpoint | write_cache | active_spec_path,_YamlLoader | Endpoint | SpecError,15,3,,production module,code-inferred
COMFY-CLI-MODULE-7040B1CB712C,comfy_cli/command/generate/upload.py,comfy_cli.command.generate.upload,command surface,upload_bytes | upload_path | upload_remote_url | upload_target,UploadResult,8,1,,production module,code-inferred
COMFY-CLI-MODULE-DEF317D1CFDE,comfy_cli/command/github/pr_info.py,comfy_cli.command.github.pr_info,command surface,,PRInfo,1,1,,production module,code-inferred
COMFY-CLI-MODULE-AB664CEF0712,comfy_cli/command/install.py,comfy_cli.command.install,command surface,get_os_details | pip_install_comfyui_dependencies | pip_install_manager | execute | handle_pr_checkout | validate_version | handle_github_rate_limit | clone_comfyui | checkout_stable_comfyui | get_latest_release | parse_pr_reference | fetch_pr_info | find_pr_by_branch | verify_node_tools | handle_temporary_frontend_pr | parse_frontend_pr_reference,GitHubRateLimitError | GithubRelease,21,2,,production module,code-inferred
COMFY-CLI-MODULE-FB093344A7D6,comfy_cli/command/job_watcher.py,comfy_cli.command.job_watcher,command surface,watch_job,,6,0,COMFY-CLI-CMD-9E2B6163BDC2,production module,code-inferred
COMFY-CLI-MODULE-FC51A4EC2BAC,comfy_cli/command/jobs.py,comfy_cli.command.jobs,command surface,ls_cmd | status_cmd | wait_cmd | cancel_cmd | watch_cmd,JobRow,37,1,COMFY-CLI-CMD-7EB26619F524 | COMFY-CLI-CMD-D5C6B6A5304A | COMFY-CLI-CMD-CE8B0C60703F | COMFY-CLI-CMD-0DCAB9115E78 | COMFY-CLI-CMD-0210446D9C2D,production module,code-inferred
COMFY-CLI-MODULE-744C4AF80AD2,comfy_cli/command/launch.py,comfy_cli.command.launch,command surface,launch_comfyui | launch | background_launch | background_log_path | launch_and_monitor | read_log_tail | resolve_background_log_path | logs,,13,0,,production module,code-inferred
COMFY-CLI-MODULE-5A6F5070E623,comfy_cli/command/models/models.py,comfy_cli.command.models.models,command surface,get_workspace | potentially_strip_param_url | check_huggingface_url | check_civitai_url | request_civitai_model_version_api | request_civitai_model_api | download | remove | list_models | list_command,,11,0,COMFY-CLI-CMD-73E7FD254830 | COMFY-CLI-CMD-2F3265AA0BF5 | COMFY-CLI-CMD-AA2ACE85EF11,production module,code-inferred
COMFY-CLI-MODULE-A9C6A4F6400A,comfy_cli/command/models/search.py,comfy_cli.command.models.search,command surface,list_folders_cmd | list_folder_cmd | search_cmd | show_cmd,,14,0,COMFY-CLI-CMD-33F9DE2059B6 | COMFY-CLI-CMD-9784AD26C3AE | COMFY-CLI-CMD-EC1B2AD720A3 | COMFY-CLI-CMD-5434AE46FE8E,production module,code-inferred
COMFY-CLI-MODULE-E2F07BCA1194,comfy_cli/command/nodes.py,comfy_cli.command.nodes,command surface,ls_cmd | show_cmd | search_cmd | upstream_cmd | downstream_cmd | path_cmd | types_cmd | categories_cmd | refresh_cmd,,15,0,COMFY-CLI-CMD-68524CB91542 | COMFY-CLI-CMD-61082A1E880E | COMFY-CLI-CMD-79FEB8E7B040 | COMFY-CLI-CMD-FDE462C15022 | COMFY-CLI-CMD-F3D36B5113AA | COMFY-CLI-CMD-77C5CD9DED55 | COMFY-CLI-CMD-1C66FC17833A | COMFY-CLI-CMD-6B71426FB7AB | COMFY-CLI-CMD-966ABB06F512,production module,code-inferred
COMFY-CLI-MODULE-0E63D2257AB6,comfy_cli/command/pr_command.py,comfy_cli.command.pr_command,command surface,list_cached | clean_cache,,2,0,COMFY-CLI-CMD-2A6E5279272F | COMFY-CLI-CMD-5C1B634D5D4D,production module,code-inferred
COMFY-CLI-MODULE-B13BDD8A71E9,comfy_cli/command/preview.py,comfy_cli.command.preview,command surface,classify_streams | build_preview_cmd | preview_cmd,,8,0,COMFY-CLI-CMD-FBD35E2977D0,production module,code-inferred
COMFY-CLI-MODULE-CA064765F3F3,comfy_cli/command/project.py,comfy_cli.command.project,command surface,init_cmd | status_cmd | assets_push_cmd,,11,0,COMFY-CLI-CMD-9C49EFCBA129 | COMFY-CLI-CMD-2372F81B0A51 | COMFY-CLI-CMD-5C260CD890F9,production module,code-inferred
COMFY-CLI-MODULE-C9ADF35359AD,comfy_cli/command/run/__init__.py,comfy_cli.command.run.__init__,command surface,execute | execute_cloud,,6,0,,production module,code-inferred
COMFY-CLI-MODULE-D3866928C5F1,comfy_cli/command/run/credentials.py,comfy_cli.command.run.credentials,command surface,,,1,0,,production module,code-inferred
COMFY-CLI-MODULE-C09855A90043,comfy_cli/command/run/execution.py,comfy_cli.command.run.execution,command surface,,ExecutionProgress | WorkflowExecution,24,2,,production module,code-inferred
COMFY-CLI-MODULE-A32BF4AF8E58,comfy_cli/command/run/loader.py,comfy_cli.command.run.loader,command surface,is_ui_workflow | pop_compose_meta,WorkflowLoadError,6,1,,production module,code-inferred
COMFY-CLI-MODULE-0A215D6AE8D2,comfy_cli/command/run/preflight.py,comfy_cli.command.run.preflight,command surface,fetch_object_info,,4,0,,production module,code-inferred
COMFY-CLI-MODULE-8FA3FC78EF8B,comfy_cli/command/run/watcher.py,comfy_cli.command.run.watcher,command surface,,,3,0,,production module,code-inferred
COMFY-CLI-MODULE-526B542EBAB7,comfy_cli/command/run_cli.py,comfy_cli.command.run_cli,command surface,fleet_workflow | execute,Invocation | Step | _DemoState,16,3,,production module,code-inferred
COMFY-CLI-MODULE-C614940ED81D,comfy_cli/command/setup.py,comfy_cli.command.setup,command surface,execute,,17,0,,production module,code-inferred
COMFY-CLI-MODULE-4C74A4E5E0C6,comfy_cli/command/templates.py,comfy_cli.command.templates,command surface,ls_cmd | show_cmd | refresh_cmd | fetch_cmd,,12,0,COMFY-CLI-CMD-7AF6D68A98BB | COMFY-CLI-CMD-899FF535A207 | COMFY-CLI-CMD-456CCBC5E29E | COMFY-CLI-CMD-5336FA460FC1,production module,code-inferred
COMFY-CLI-MODULE-099AC6F5969C,comfy_cli/command/transfer.py,comfy_cli.command.transfer,command surface,execute_upload | execute_download,_DownloadRedirectHandler,12,1,,production module,code-inferred
