key,locales_present,locale_count,reference_hint,availability,feature_id,source,evidence_level
actions.untrack,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.untrackConfirmMessage,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.untrackConfirmTitle,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
actions.updateAvailable,en;zh,2,dynamic-or-unreferenced,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.availableMessage,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.availableTitle,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.download,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.downloading,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.errorTitle,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.fallbackVersion,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.installedLabel,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.lastCheckedLabel,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.later,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.latestLabel,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.panelAvailableTitle,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.panelDownloadingTitle,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.panelIdleTitle,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.panelReadyTitle,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.readyBadge,en;zh,2,dynamic-or-unreferenced,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.readyMessage,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
appUpdate.readyTitle,en;zh,2,literal-reference,active,COMFY-DESKTOP-151,projects/comfy/Comfy-Desktop/locales/en.json; projects/comfy/Comfy-Desktop/locales/zh.json,code-inferred
