feature_id,setting_id,label,schema_type,ui_type,default_expression,version_added,availability,source_file,line,localized_en,test
COMFY-QUEUE-025,Comfy.Execution.PreviewMethod,Live preview method,zPreviewMethod,combo,'default',1.36.0,active,src/platform/settings/constants/coreSettings.ts,904,yes,src/stores/jobPreviewStore.test.ts
COMFY-SETTING-031,Comfy.Extension.Disabled,Comfy.Extension.Disabled,z.array(z.string()),hidden,[] as string[],1.3.11,infrastructure-only,src/platform/settings/constants/coreSettings.ts,688,no,
COMFY-GRAPH-032,Comfy.FloatRoundingPrecision,Float widget rounding decimal places [0 = auto].,z.number(),slider,0,,active,src/platform/settings/constants/coreSettings.ts,540,yes,
COMFY-GRAPH-033,Comfy.Graph.AutoPanSpeed,Auto-pan speed,z.number(),slider,15,,active,src/platform/settings/constants/coreSettings.ts,329,yes,
COMFY-GRAPH-034,Comfy.Graph.CanvasInfo,"Show canvas info on bottom left corner (fps, etc.)",z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,263,yes,
COMFY-GRAPH-035,Comfy.Graph.CanvasMenu,Show graph canvas menu,z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,641,yes,
COMFY-SETTING-032,Comfy.Graph.CtrlShiftZoom,Enable fast-zoom shortcut (Ctrl + Shift + Drag),z.boolean(),boolean,true,1.4.0,active,src/platform/settings/constants/coreSettings.ts,768,yes,
COMFY-GRAPH-036,Comfy.Graph.DeduplicateSubgraphNodeIds,Deduplicate subgraph node IDs,z.boolean(),boolean,true,1.40.0,deprecated/dead,src/platform/settings/constants/coreSettings.ts,1272,yes,
COMFY-GRAPH-037,Comfy.Graph.LinkMarkers,Link midpoint markers,z.nativeEnum(LinkMarkerShape),combo,LinkMarkerShape.Circle,1.3.42,active,src/platform/settings/constants/coreSettings.ts,748,yes,
COMFY-GRAPH-038,Comfy.Graph.LiveSelection,Live selection,z.boolean(),boolean,false,1.36.1,active,src/platform/settings/constants/coreSettings.ts,776,yes,
COMFY-GRAPH-039,Comfy.Graph.ZoomSpeed,Canvas zoom speed,z.number(),slider,1.1,,active,src/platform/settings/constants/coreSettings.ts,317,yes,
COMFY-GRAPH-040,Comfy.Group.DoubleClickTitleToEdit,Double click group title to edit,z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,400,yes,
COMFY-GRAPH-041,Comfy.GroupSelectedNodes.Padding,Group selected nodes padding,z.number(),slider,10,,active,src/platform/settings/constants/coreSettings.ts,375,yes,
COMFY-SETTING-033,Comfy.InstalledVersion,Comfy.InstalledVersion,z.string().nullable(),hidden,null,1.24.0,infrastructure-only,src/platform/settings/constants/coreSettings.ts,981,no,src/platform/settings/settingStore.test.ts
COMFY-SETTING-034,Comfy.Keybinding.CurrentPreset,Comfy.Keybinding.CurrentPreset,z.string(),hidden,'default',1.8.8,infrastructure-only,src/platform/settings/constants/coreSettings.ts,681,no,src/platform/keybindings/presetService.test.ts
COMFY-SETTING-035,Comfy.Keybinding.NewBindings,Comfy.Keybinding.NewBindings,z.array(zKeybinding),hidden,[] as Keybinding[],1.3.7,infrastructure-only,src/platform/settings/constants/coreSettings.ts,674,no,
COMFY-SETTING-036,Comfy.Keybinding.UnsetBindings,Comfy.Keybinding.UnsetBindings,z.array(zKeybinding),hidden,[] as Keybinding[],1.3.7,infrastructure-only,src/platform/settings/constants/coreSettings.ts,657,no,
COMFY-GRAPH-042,Comfy.LinkRelease.Action,Action on link release (No modifier),zLinkReleaseTriggerAction,combo,LinkReleaseTriggerAction.CONTEXT_MENU,,active,src/platform/settings/constants/coreSettings.ts,46,yes,
COMFY-GRAPH-043,Comfy.LinkRelease.ActionShift,Action on link release (Shift),zLinkReleaseTriggerAction,combo,LinkReleaseTriggerAction.SEARCH_BOX,,active,src/platform/settings/constants/coreSettings.ts,57,yes,
COMFY-GRAPH-044,Comfy.LinkRenderMode,Link Render Mode,z.number(),combo,2,,active,src/platform/settings/constants/coreSettings.ts,695,yes,
COMFY-ASSET-040,Comfy.Load3D.3DViewerEnable,Enable 3D Viewer (Beta),z.boolean(),boolean,false,,experimental,src/extensions/core/load3d.ts,229,yes,src/components/graph/SelectionToolbox.test.ts
