feature_id,setting_id,label,schema_type,ui_type,default_expression,version_added,availability,source_file,line,localized_en,test
COMFY-GRAPH-060,Comfy.NodeBadge.NodeIdBadgeMode,Node ID badge mode,zNodeBadgeMode,combo,NodeBadgeMode.None,,active,src/platform/settings/constants/coreSettings.ts,458,yes,
COMFY-GRAPH-061,Comfy.NodeBadge.NodeLifeCycleBadgeMode,Node life cycle badge mode,zNodeBadgeMode,combo,NodeBadgeMode.ShowAll,,active,src/platform/settings/constants/coreSettings.ts,466,yes,
COMFY-GRAPH-062,Comfy.NodeBadge.NodeSourceBadgeMode,Node source badge mode,zNodeBadgeMode,combo,NodeBadgeMode.HideBuiltIn,,active,src/platform/settings/constants/coreSettings.ts,450,yes,
COMFY-GRAPH-063,Comfy.NodeBadge.ShowApiPricing,Show API node pricing badge,z.boolean(),boolean,true,1.20.3,active,src/platform/settings/constants/coreSettings.ts,474,yes,
COMFY-GRAPH-064,Comfy.NodeLibrary.Bookmarks,Comfy.NodeLibrary.Bookmarks,z.array(z.string()),hidden,[],,deprecated/dead,src/platform/settings/constants/coreSettings.ts,355,no,src/components/searchbox/v2/NodeSearchContent.test.ts
COMFY-GRAPH-065,Comfy.NodeLibrary.Bookmarks.V2,Comfy.NodeLibrary.Bookmarks.V2,z.array(z.string()),hidden,[],,infrastructure-only,src/platform/settings/constants/coreSettings.ts,362,no,src/components/searchbox/v2/NodeSearchContent.test.ts
COMFY-GRAPH-066,Comfy.NodeLibrary.BookmarksCustomization,Comfy.NodeLibrary.BookmarksCustomization,z.record(,hidden,{},,infrastructure-only,src/platform/settings/constants/coreSettings.ts,369,no,src/components/searchbox/v2/NodeSearchContent.test.ts
COMFY-GRAPH-067,Comfy.NodeLibrary.NewDesign,New Node Library Design,z.boolean(),boolean,true,,experimental,src/platform/settings/constants/coreSettings.ts,344,yes,src/components/graph/SelectionToolbox.test.ts
COMFY-SETTING-040,Comfy.NodeReplacement.Enabled,Enable node replacement suggestions,z.boolean(),boolean,true,1.40.0,conditional,src/platform/settings/constants/coreSettings.ts,1260,yes,src/platform/nodeReplacement/nodeReplacementStore.test.ts
COMFY-GRAPH-068,Comfy.NodeSearchBoxImpl,Node search box implementation,z.enum([,combo,'default',,experimental,src/platform/settings/constants/coreSettings.ts,37,yes,src/components/searchbox/NodeSearchBoxPopover.test.ts
COMFY-GRAPH-069,Comfy.NodeSearchBoxImpl.FollowCursor,Added nodes follow the cursor,z.boolean(),boolean,true,1.44.4,active,src/platform/settings/constants/coreSettings.ts,76,yes,src/components/searchbox/NodeSearchBoxPopover.test.ts
COMFY-GRAPH-070,Comfy.NodeSearchBoxImpl.NodePreview,Node preview,z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,68,yes,
COMFY-GRAPH-071,Comfy.NodeSearchBoxImpl.ShowCategory,Show node category in search results,z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,86,yes,src/components/searchbox/v2/NodeSearchListItem.test.ts
COMFY-GRAPH-072,Comfy.NodeSearchBoxImpl.ShowIdName,Show node id name in search results,z.boolean(),boolean,false,,active,src/platform/settings/constants/coreSettings.ts,94,yes,src/components/searchbox/v2/NodeSearchListItem.test.ts
COMFY-GRAPH-073,Comfy.NodeSearchBoxImpl.ShowNodeFrequency,Show node frequency in search results,z.boolean(),boolean,false,,active,src/platform/settings/constants/coreSettings.ts,102,yes,src/components/searchbox/v2/NodeSearchListItem.test.ts
COMFY-GRAPH-074,Comfy.NodeSuggestions.number,Number of nodes suggestions,z.number(),slider,5,,active,src/extensions/core/slotDefaults.ts,22,yes,
COMFY-SETTING-041,Comfy.Notification.ShowVersionUpdates,Show version updates,z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,482,yes,src/platform/updates/common/releaseStore.test.ts
COMFY-SETTING-042,Comfy.Pointer.ClickBufferTime,Pointer click drift delay,z.number(),slider,32,1.4.3,experimental,src/platform/settings/constants/coreSettings.ts,802,yes,
COMFY-SETTING-043,Comfy.Pointer.ClickDrift,Pointer click drift (maximum distance),z.number(),slider,6,1.4.3,experimental,src/platform/settings/constants/coreSettings.ts,786,yes,
COMFY-SETTING-044,Comfy.Pointer.DoubleClickTime,Double click interval (maximum),z.number(),slider,300,1.4.3,active,src/platform/settings/constants/coreSettings.ts,819,yes,
COMFY-ASSET-052,Comfy.PreviewFormat,Preview image format,z.string(),text,'',,active,src/platform/settings/constants/coreSettings.ts,515,yes,
COMFY-QUEUE-026,Comfy.PromptFilename,Prompt for filename when saving workflow,z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,497,yes,
COMFY-QUEUE-027,Comfy.Queue.History.Expanded,Comfy.Queue.History.Expanded,z.boolean(),hidden,false,1.37.0,infrastructure-only,src/platform/settings/constants/coreSettings.ts,890,no,src/components/queue/QueueOverlayHeader.test.ts
COMFY-QUEUE-028,Comfy.Queue.MaxHistoryItems,Queue history size,z.number(),slider,64,1.4.12,active,src/platform/settings/constants/coreSettings.ts,877,yes,
COMFY-QUEUE-029,Comfy.Queue.QPOV2,Docked job history/queue panel,z.boolean(),boolean,isNightly,,experimental,src/platform/settings/constants/coreSettings.ts,1233,yes,src/components/TopMenuSection.test.ts
COMFY-QUEUE-030,Comfy.Queue.ShowRunProgressBar,Comfy.Queue.ShowRunProgressBar,z.boolean(),hidden,true,1.41.3,infrastructure-only,src/platform/settings/constants/coreSettings.ts,1243,no,src/components/TopMenuSection.test.ts
COMFY-QUEUE-031,Comfy.QueueButton.BatchCountLimit,Batch count limit,z.number(),number,100,1.3.5,active,src/platform/settings/constants/coreSettings.ts,648,yes,src/components/actionbar/BatchCountEdit.test.ts
COMFY-SETTING-045,Comfy.Release.Status,Comfy.Release.Status,z.enum([,hidden,'skipped',,infrastructure-only,src/platform/settings/constants/coreSettings.ts,1148,no,src/platform/settings/settingStore.test.ts
COMFY-SETTING-046,Comfy.Release.Timestamp,Comfy.Release.Timestamp,z.number(),hidden,0,,infrastructure-only,src/platform/settings/constants/coreSettings.ts,1154,no,src/platform/updates/common/releaseStore.test.ts
COMFY-SETTING-047,Comfy.Release.Version,Comfy.Release.Version,z.string(),hidden,'',,infrastructure-only,src/platform/settings/constants/coreSettings.ts,1142,no,src/platform/settings/settingStore.test.ts
COMFY-GRAPH-075,Comfy.RerouteBeta,Comfy.RerouteBeta,z.boolean(),z.boolean(),runtime/extension-defined,,active,src/schemas/apiSchema.ts,407,no,
COMFY-SETTING-048,Comfy.RightSidePanel.IsOpen,Comfy.RightSidePanel.IsOpen,z.boolean(),hidden,false,1.37.0,infrastructure-only,src/platform/settings/constants/coreSettings.ts,1226,no,src/components/TopMenuSection.test.ts
COMFY-SETTING-049,Comfy.RightSidePanel.ShowErrorsTab,Show errors tab in side panel,z.boolean(),boolean,true,1.40.0,experimental,src/platform/settings/constants/coreSettings.ts,1284,yes,src/composables/graph/useGraphNodeManager.test.ts
COMFY-SETTING-050,Comfy.Server.LaunchArgs,Comfy.Server.LaunchArgs,z.record(z.string(),hidden,{} as Record<string,1.4.8,infrastructure-only,src/platform/settings/constants/coreSettings.ts,868,no,
COMFY-SETTING-051,Comfy.Server.ServerConfigValues,Comfy.Server.ServerConfigValues,z.record(z.string(),hidden,{} as Record<string,1.4.8,infrastructure-only,src/platform/settings/constants/coreSettings.ts,859,no,
COMFY-SETTING-052,Comfy.Sidebar.Location,Sidebar location,z.enum(['left',combo,'left',,active,src/platform/settings/constants/coreSettings.ts,110,yes,
COMFY-SETTING-053,Comfy.Sidebar.Size,Sidebar size,z.enum(['small',combo,() => (window.innerWidth < 1536 ? 'small' : 'normal'),,active,src/platform/settings/constants/coreSettings.ts,118,yes,
COMFY-SETTING-054,Comfy.Sidebar.Style,Sidebar style,z.enum(['floating',combo,'connected',,active,src/platform/settings/constants/coreSettings.ts,135,yes,
COMFY-SETTING-055,Comfy.Sidebar.UnifiedWidth,Unified sidebar width,z.boolean(),boolean,true,1.18.1,active,src/platform/settings/constants/coreSettings.ts,127,yes,
COMFY-SETTING-056,Comfy.SnapToGrid.GridSize,Snap to grid size,z.number(),slider,LiteGraph.CANVAS_GRID_SIZE,,active,src/platform/settings/constants/coreSettings.ts,834,yes,
COMFY-WORKFLOW-060,Comfy.Templates.SelectedModels,Comfy.Templates.SelectedModels,z.array(z.string()),hidden,[],,infrastructure-only,src/platform/settings/constants/coreSettings.ts,1164,no,src/composables/useTemplateFiltering.test.ts
COMFY-WORKFLOW-061,Comfy.Templates.SelectedRunsOn,Comfy.Templates.SelectedRunsOn,z.array(z.string()),hidden,[],,infrastructure-only,src/platform/settings/constants/coreSettings.ts,1176,no,src/composables/useTemplateFiltering.test.ts
COMFY-WORKFLOW-062,Comfy.Templates.SelectedUseCases,Comfy.Templates.SelectedUseCases,z.array(z.string()),hidden,[],,infrastructure-only,src/platform/settings/constants/coreSettings.ts,1170,no,src/composables/useTemplateFiltering.test.ts
COMFY-WORKFLOW-063,Comfy.Templates.SortBy,Comfy.Templates.SortBy,z.enum([,hidden,'default',,infrastructure-only,src/platform/settings/constants/coreSettings.ts,1182,no,src/composables/useTemplateFiltering.test.ts
COMFY-SETTING-057,Comfy.TextareaWidget.FontSize,Textarea widget font size,z.number(),slider,10,,active,src/platform/settings/constants/coreSettings.ts,143,yes,
COMFY-GRAPH-076,Comfy.TextareaWidget.Spellcheck,Textarea widget spellcheck,z.boolean(),boolean,false,,active,src/platform/settings/constants/coreSettings.ts,154,yes,
COMFY-QUEUE-032,Comfy.Toast.DisableReconnectingToast,Comfy.Toast.DisableReconnectingToast,z.boolean(),hidden,false,1.15.12,infrastructure-only,src/platform/settings/constants/coreSettings.ts,1049,no,src/composables/useReconnectingNotification.test.ts
COMFY-SETTING-058,Comfy.TreeExplorer.ItemPadding,Tree explorer item padding,z.number(),slider,2,,active,src/platform/settings/constants/coreSettings.ts,414,yes,
COMFY-SETTING-059,Comfy.TutorialCompleted,Comfy.TutorialCompleted,z.boolean(),hidden,false,1.8.7,infrastructure-only,src/platform/settings/constants/coreSettings.ts,974,no,src/services/useNewUserService.test.ts
COMFY-SETTING-060,Comfy.UI.TabBarLayout,Tab Bar Layout,z.enum(['Default',combo,'Default',,active,src/platform/settings/constants/coreSettings.ts,584,yes,src/components/TopMenuSection.test.ts
COMFY-SETTING-061,Comfy.UseNewMenu,Use new menu,z.enum(['Disabled',combo,'Top',,active,src/platform/settings/constants/coreSettings.ts,608,yes,src/components/TopMenuSection.test.ts
COMFY-WORKFLOW-064,Comfy.Validation.Workflows,Validate workflows,z.boolean(),boolean,false,,active,src/platform/settings/constants/coreSettings.ts,31,yes,
COMFY-SETTING-062,Comfy.VersionCompatibility.DisableWarnings,Comfy.VersionCompatibility.DisableWarnings,z.boolean(),hidden,false,1.34.1,infrastructure-only,src/platform/settings/constants/coreSettings.ts,1219,no,src/platform/updates/common/versionCompatibilityStore.test.ts
COMFY-GRAPH-077,Comfy.VueNodes.Enabled,Modern Node Design (Nodes 2.0),z.boolean(),boolean,false,1.27.1,experimental,src/platform/settings/constants/coreSettings.ts,1192,yes,src/stores/appModeStore.test.ts
COMFY-GRAPH-078,Comfy.WidgetControlMode,Widget control mode,z.enum(['before',combo,'after',,active,src/platform/settings/constants/coreSettings.ts,963,yes,src/renderer/extensions/vueNodes/widgets/components/ValueControlPopover.test.ts
COMFY-SETTING-063,Comfy.Window.UnloadConfirmation,Show confirmation when closing window,z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,407,yes,
COMFY-WORKFLOW-065,Comfy.Workflow.AutoSave,Auto Save,z.enum(['off',combo,'off',1.16.0,active,src/platform/settings/constants/coreSettings.ts,1106,yes,src/components/topbar/WorkflowTab.test.ts
COMFY-WORKFLOW-066,Comfy.Workflow.AutoSaveDelay,Auto Save Delay (ms),z.number(),number,1000,1.16.0,active,src/platform/settings/constants/coreSettings.ts,1098,yes,src/platform/workflow/persistence/composables/useWorkflowAutoSave.test.ts
COMFY-WORKFLOW-067,Comfy.Workflow.ConfirmDelete,Show confirmation when deleting workflows,z.boolean(),boolean,true,1.5.6,active,src/platform/settings/constants/coreSettings.ts,936,yes,
COMFY-WORKFLOW-068,Comfy.Workflow.Persist,Persist workflow state and restore on page (re)load,z.boolean(),boolean,true,1.16.1,active,src/platform/settings/constants/coreSettings.ts,1114,yes,src/platform/workflow/core/services/workflowService.test.ts
COMFY-WORKFLOW-069,Comfy.Workflow.ShowMissingModelsWarning,Show missing models warning,z.boolean(),z.boolean(),isCloud ? false : true,,experimental,src/platform/settings/constants/coreSettings.ts,298,yes,src/platform/workflow/core/services/workflowService.test.ts
COMFY-WORKFLOW-070,Comfy.Workflow.SortNodeIdOnSave,Sort node IDs when saving workflow,z.boolean(),boolean,false,,active,src/platform/settings/constants/coreSettings.ts,161,yes,
COMFY-WORKFLOW-071,Comfy.Workflow.WarnBlueprintOverwrite,Require confirmation to overwrite an existing subgraph blueprint,z.boolean(),boolean,true,,active,src/platform/settings/constants/coreSettings.ts,305,yes,
