record_id,path,node_candidate,layout,registry_match_kind,corroboration_status,corroborated_feature_ids,embedded_doc_record_ids,evidence_level
COMFY-DOC-NODE-6708CAD668A7,built-in-nodes/LumaRay32KeyframeNode.mdx,LumaRay32KeyframeNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0384,COMFY-EMBEDDOC-9C27CE052B76,documented-only
COMFY-DOC-NODE-FA68681F136D,built-in-nodes/LumaRay32KeyframesToVideoNode.mdx,LumaRay32KeyframesToVideoNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0385,COMFY-EMBEDDOC-93BAEE9F613A,documented-only
COMFY-DOC-NODE-A7EBECF9E977,built-in-nodes/LumaRay32TextToVideoNode.mdx,LumaRay32TextToVideoNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0386,COMFY-EMBEDDOC-454B12A8EE46,documented-only
COMFY-DOC-NODE-3D1DF57ED663,built-in-nodes/LumaRay32VideoEditNode.mdx,LumaRay32VideoEditNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0387,COMFY-EMBEDDOC-502BF93F59B5,documented-only
COMFY-DOC-NODE-6B6860AA6BD3,built-in-nodes/LumaRay32VideoReframeNode.mdx,LumaRay32VideoReframeNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0388,COMFY-EMBEDDOC-5387E930683D,documented-only
COMFY-DOC-NODE-3BAFA8D7C24E,built-in-nodes/LumaReferenceNode.mdx,LumaReferenceNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0389,COMFY-EMBEDDOC-C3A95CAA7FCC,documented-only
COMFY-DOC-NODE-FC82F0C7B10C,built-in-nodes/LumaVideoNode.mdx,LumaVideoNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0390,COMFY-EMBEDDOC-CE8279810B9C,documented-only
COMFY-DOC-NODE-FAAF0850A67D,built-in-nodes/MagnificImageRelightNode.mdx,MagnificImageRelightNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0391,COMFY-EMBEDDOC-721805998310,documented-only
COMFY-DOC-NODE-6EDA8D47224C,built-in-nodes/MagnificImageSkinEnhancerNode.mdx,MagnificImageSkinEnhancerNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0392,COMFY-EMBEDDOC-12E1637500DA,documented-only
COMFY-DOC-NODE-B127E428A5ED,built-in-nodes/MagnificImageStyleTransferNode.mdx,MagnificImageStyleTransferNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0393,COMFY-EMBEDDOC-70C3C2961D88,documented-only
COMFY-DOC-NODE-9BA6F0812193,built-in-nodes/MagnificImageUpscalerCreativeNode.mdx,MagnificImageUpscalerCreativeNode,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0394,COMFY-EMBEDDOC-3861DBCE3B53,documented-only
COMFY-DOC-NODE-885C34707174,built-in-nodes/MagnificImageUpscalerPreciseV2Node.mdx,MagnificImageUpscalerPreciseV2Node,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0395,COMFY-EMBEDDOC-6C9B059A6EC2,documented-only
COMFY-DOC-NODE-C3C5CE77FE88,built-in-nodes/Mahiro.mdx,Mahiro,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0396,COMFY-EMBEDDOC-9105A1A99921,documented-only
COMFY-DOC-NODE-5BBF96FD7F38,built-in-nodes/MakeTrainingDataset.mdx,MakeTrainingDataset,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0397,COMFY-EMBEDDOC-99804AD38C83,documented-only
COMFY-DOC-NODE-649106EB2144,built-in-nodes/ManualSigmas.mdx,ManualSigmas,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0398,COMFY-EMBEDDOC-71E94E215383,documented-only
COMFY-DOC-NODE-A5327BC69399,built-in-nodes/MarkdownNote.mdx,MarkdownNote,top-level-synced-or-node,frontend-native-virtual-node,executable-frontend-registry,COMFY-FRONTEXT-EXT-019,COMFY-EMBEDDOC-D945105C5F69,documented-only
COMFY-DOC-NODE-C38CE8FBF6B5,built-in-nodes/MaskComposite.mdx,MaskComposite,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0399,COMFY-EMBEDDOC-79694E5132E5,documented-only
COMFY-DOC-NODE-4E700137A9E3,built-in-nodes/MaskPreview.mdx,MaskPreview,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0400,COMFY-EMBEDDOC-734DC4722253,documented-only
COMFY-DOC-NODE-525FB9B7040C,built-in-nodes/MaskToImage.mdx,MaskToImage,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0401,COMFY-EMBEDDOC-309B90912BFD,documented-only
COMFY-DOC-NODE-78FDFEA9629B,built-in-nodes/MediaPipeFaceLandmarker.mdx,MediaPipeFaceLandmarker,top-level-synced-or-node,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0402,COMFY-EMBEDDOC-3DF28AF8E6CD,documented-only
